*, *, pre-primary, married, *, *, *, *, 19264
*, *, doctorate, not-married, *, *, *, *, 109331
*, *, doctorate, not-married, *, *, *, *, 92695
*, *, doctorate, not-married, *, *, *, *, 115620
*, *, doctorate, not-married, *, *, *, *, 106999
*, *, doctorate, not-married, *, *, *, *, 129899
*, *, doctorate, not-married, *, *, *, *, 126757
*, *, doctorate, not-married, *, *, *, *, 108771
*, *, doctorate, not-married, *, *, *, *, 97100
*, *, doctorate, not-married, *, *, *, *, 74555
*, *, doctorate, not-married, *, *, *, *, 97952
*, *, doctorate, not-married, *, *, *, *, 65930
*, *, doctorate, not-married, *, *, *, *, 136193
*, *, doctorate, not-married, *, *, *, *, 123199
*, *, doctorate, not-married, *, *, *, *, 61806
*, *, doctorate, not-married, *, *, *, *, 84066
*, *, doctorate, not-married, *, *, *, *, 122134
*, *, doctorate, not-married, *, *, *, *, 51315
*, *, doctorate, not-married, *, *, *, *, 120211
*, *, doctorate, not-married, *, *, *, *, 117245
*, *, doctorate, not-married, *, *, *, *, 83243
*, *, doctorate, not-married, *, *, *, *, 76016
*, *, doctorate, not-married, *, *, *, *, 130007
*, *, doctorate, not-married, *, *, *, *, 121233
*, *, doctorate, not-married, *, *, *, *, 114531
*, *, doctorate, not-married, *, *, *, *, 95740
*, *, doctorate, not-married, *, *, *, *, 59376
*, *, doctorate, not-married, *, *, *, *, 73950
*, *, doctorate, not-married, *, *, *, *, 111542
*, *, doctorate, not-married, *, *, *, *, 88849
*, *, doctorate, not-married, *, *, *, *, 82575
*, *, doctorate, not-married, *, *, *, *, 114473
*, *, doctorate, not-married, *, *, *, *, 122682
*, *, doctorate, not-married, *, *, *, *, 85953
*, *, doctorate, not-married, *, *, *, *, 129612
*, *, doctorate, not-married, *, *, *, *, 110557
*, *, doctorate, not-married, *, *, *, *, 70284
*, *, doctorate, not-married, *, *, *, *, 134607
*, *, doctorate, not-married, *, *, *, *, 95249
*, *, doctorate, not-married, *, *, *, *, 117692
*, *, doctorate, not-married, *, *, *, *, 81921
*, *, doctorate, not-married, *, *, *, *, 59544
*, *, doctorate, not-married, *, *, *, *, 92067
*, *, doctorate, not-married, *, *, *, *, 97431
*, *, doctorate, not-married, *, *, *, *, 111142
*, *, doctorate, not-married, *, *, *, *, 96674
*, *, doctorate, not-married, *, *, *, *, 130265
*, *, doctorate, not-married, *, *, *, *, 81538
*, *, doctorate, not-married, *, *, *, *, 127289
*, *, doctorate, not-married, *, *, *, *, 53391
*, *, assoc-acdm, married, *, *, *, *, 86655
*, *, assoc-acdm, married, *, *, *, *, 68943
*, *, assoc-acdm, married, *, *, *, *, 99062
*, *, assoc-acdm, married, *, *, *, *, 57390
*, *, assoc-acdm, married, *, *, *, *, 58282
*, *, assoc-acdm, married, *, *, *, *, 81864
*, *, assoc-acdm, married, *, *, *, *, 52961
*, *, assoc-acdm, married, *, *, *, *, 95334
*, *, assoc-acdm, married, *, *, *, *, 88728
*, *, assoc-acdm, married, *, *, *, *, 64178
*, *, assoc-acdm, married, *, *, *, *, 95019
*, *, assoc-acdm, married, *, *, *, *, 108562
*, *, assoc-acdm, married, *, *, *, *, 111047
*, *, assoc-acdm, married, *, *, *, *, 108296
*, *, assoc-acdm, married, *, *, *, *, 108452
*, *, assoc-acdm, married, *, *, *, *, 91252
*, *, assoc-acdm, married, *, *, *, *, 82252
*, *, assoc-acdm, married, *, *, *, *, 53569
*, *, assoc-acdm, married, *, *, *, *, 51828
*, *, assoc-acdm, married, *, *, *, *, 92150
*, *, assoc-acdm, married, *, *, *, *, 86599
*, *, assoc-acdm, married, *, *, *, *, 91067
*, *, assoc-acdm, married, *, *, *, *, 78512
*, *, assoc-acdm, married, *, *, *, *, 118373
*, *, assoc-acdm, married, *, *, *, *, 114043
*, *, assoc-acdm, married, *, *, *, *, 113950
*, *, assoc-acdm, married, *, *, *, *, 133863
*, *, assoc-acdm, married, *, *, *, *, 108887
*, *, assoc-acdm, married, *, *, *, *, 119822
*, *, assoc-acdm, married, *, *, *, *, 107047
*, *, assoc-acdm, married, *, *, *, *, 133260
*, *, assoc-acdm, married, *, *, *, *, 96968
*, *, assoc-acdm, married, *, *, *, *, 131262
*, *, assoc-acdm, married, *, *, *, *, 72552
*, *, assoc-acdm, married, *, *, *, *, 91915
*, *, assoc-acdm, married, *, *, *, *, 54188
*, *, assoc-acdm, married, *, *, *, *, 94411
*, *, assoc-acdm, married, *, *, *, *, 136832
*, *, assoc-acdm, married, *, *, *, *, 110422
*, *, assoc-acdm, married, *, *, *, *, 97918
*, *, assoc-acdm, married, *, *, *, *, 100228
*, *, assoc-acdm, married, *, *, *, *, 57695
*, *, assoc-acdm, married, *, *, *, *, 64620
*, *, assoc-acdm, married, *, *, *, *, 68240
*, *, assoc-acdm, married, *, *, *, *, 129475
*, *, assoc-acdm, married, *, *, *, *, 50643
*, *, assoc-acdm, married, *, *, *, *, 117189
*, *, assoc-acdm, married, *, *, *, *, 105990
*, *, assoc-acdm, married, *, *, *, *, 83307
*, *, assoc-acdm, married, *, *, *, *, 72533
*, *, assoc-acdm, married, *, *, *, *, 76094
*, *, assoc-acdm, married, *, *, *, *, 100133
*, *, assoc-acdm, married, *, *, *, *, 59994
*, *, assoc-acdm, married, *, *, *, *, 114237
*, *, assoc-acdm, married, *, *, *, *, 79454
*, *, assoc-acdm, married, *, *, *, *, 97432
*, *, assoc-acdm, married, *, *, *, *, 63164
*, *, assoc-acdm, married, *, *, *, *, 106058
*, *, assoc-acdm, married, *, *, *, *, 51252
*, *, assoc-acdm, married, *, *, *, *, 53517
*, *, assoc-acdm, married, *, *, *, *, 120917
*, *, assoc-acdm, married, *, *, *, *, 122953
*, *, assoc-acdm, married, *, *, *, *, 126269
*, *, assoc-acdm, married, *, *, *, *, 85833
*, *, assoc-acdm, married, *, *, *, *, 103825
*, *, assoc-acdm, married, *, *, *, *, 97539
*, *, assoc-acdm, married, *, *, *, *, 103592
*, *, assoc-acdm, married, *, *, *, *, 69250
*, *, assoc-acdm, married, *, *, *, *, 50566
*, *, assoc-acdm, married, *, *, *, *, 98882
*, *, assoc-acdm, married, *, *, *, *, 67110
*, *, assoc-acdm, married, *, *, *, *, 67215
*, *, assoc-acdm, married, *, *, *, *, 61830
*, *, assoc-acdm, married, *, *, *, *, 53521
*, *, assoc-acdm, married, *, *, *, *, 71351
*, *, assoc-acdm, married, *, *, *, *, 122452
*, *, assoc-acdm, married, *, *, *, *, 53242
*, *, assoc-acdm, married, *, *, *, *, 78661
*, *, assoc-acdm, married, *, *, *, *, 80967
*, *, assoc-acdm, married, *, *, *, *, 104891
*, *, assoc-acdm, married, *, *, *, *, 59115
*, *, assoc-acdm, married, *, *, *, *, 87912
*, *, assoc-acdm, married, *, *, *, *, 61619
*, *, assoc-acdm, married, *, *, *, *, 99184
*, *, assoc-acdm, married, *, *, *, *, 61621
*, *, assoc-acdm, married, *, *, *, *, 51538
*, *, assoc-acdm, married, *, *, *, *, 139485
*, *, assoc-acdm, married, *, *, *, *, 102386
*, *, assoc-acdm, married, *, *, *, *, 54608
*, *, assoc-acdm, married, *, *, *, *, 99407
*, *, assoc-acdm, married, *, *, *, *, 55236
*, *, assoc-acdm, married, *, *, *, *, 64996
*, *, assoc-acdm, married, *, *, *, *, 98071
*, *, assoc-acdm, married, *, *, *, *, 65220
*, *, assoc-acdm, married, *, *, *, *, 103243
*, *, assoc-acdm, married, *, *, *, *, 86682
*, *, assoc-acdm, married, *, *, *, *, 74969
*, *, assoc-acdm, married, *, *, *, *, 83597
*, *, assoc-acdm, married, *, *, *, *, 74938
*, *, assoc-acdm, married, *, *, *, *, 116763
*, *, assoc-acdm, married, *, *, *, *, 81239
*, *, assoc-acdm, married, *, *, *, *, 53032
*, *, assoc-acdm, married, *, *, *, *, 71391
*, *, assoc-acdm, married, *, *, *, *, 65213
*, *, assoc-acdm, married, *, *, *, *, 67157
*, *, assoc-acdm, married, *, *, *, *, 87227
*, *, assoc-acdm, married, *, *, *, *, 126373
*, *, assoc-acdm, married, *, *, *, *, 137633
*, *, assoc-acdm, married, *, *, *, *, 119222
*, *, assoc-acdm, married, *, *, *, *, 79952
*, *, assoc-acdm, married, *, *, *, *, 93208
*, *, assoc-acdm, married, *, *, *, *, 74372
*, *, assoc-acdm, married, *, *, *, *, 57110
*, *, assoc-acdm, married, *, *, *, *, 99731
*, *, assoc-acdm, married, *, *, *, *, 63031
*, *, assoc-acdm, married, *, *, *, *, 83451
*, *, assoc-acdm, married, *, *, *, *, 122369
*, *, assoc-acdm, married, *, *, *, *, 51502
*, *, assoc-acdm, married, *, *, *, *, 131026
*, *, assoc-acdm, married, *, *, *, *, 71096
*, *, assoc-acdm, married, *, *, *, *, 57926
*, *, assoc-acdm, married, *, *, *, *, 133055
*, *, assoc-acdm, married, *, *, *, *, 98273
*, *, assoc-acdm, married, *, *, *, *, 129853
*, *, assoc-acdm, married, *, *, *, *, 130167
*, *, assoc-acdm, married, *, *, *, *, 136255
*, *, assoc-acdm, married, *, *, *, *, 67705
*, *, assoc-acdm, married, *, *, *, *, 106560
*, *, assoc-acdm, married, *, *, *, *, 122357
*, *, assoc-acdm, married, *, *, *, *, 94126
*, *, assoc-acdm, married, *, *, *, *, 74313
*, *, assoc-acdm, married, *, *, *, *, 92808
*, *, assoc-acdm, married, *, *, *, *, 71583
*, *, assoc-acdm, married, *, *, *, *, 116362
*, *, assoc-acdm, married, *, *, *, *, 103536
*, *, assoc-acdm, married, *, *, *, *, 139548
*, *, assoc-acdm, married, *, *, *, *, 75529
*, *, assoc-acdm, married, *, *, *, *, 89803
*, *, assoc-acdm, married, *, *, *, *, 92105
*, *, assoc-acdm, married, *, *, *, *, 77664
*, *, assoc-acdm, married, *, *, *, *, 117710
*, *, assoc-acdm, married, *, *, *, *, 89316
*, *, assoc-acdm, married, *, *, *, *, 74170
*, *, assoc-acdm, married, *, *, *, *, 114477
*, *, assoc-acdm, married, *, *, *, *, 121622
*, *, assoc-acdm, married, *, *, *, *, 84541
*, *, assoc-acdm, married, *, *, *, *, 93714
*, *, assoc-acdm, married, *, *, *, *, 105634
*, *, assoc-acdm, married, *, *, *, *, 105913
*, *, assoc-acdm, married, *, *, *, *, 136028
*, *, assoc-acdm, married, *, *, *, *, 94260
*, *, assoc-acdm, married, *, *, *, *, 73038
*, *, assoc-acdm, married, *, *, *, *, 83287
*, *, assoc-acdm, married, *, *, *, *, 133691
*, *, assoc-acdm, married, *, *, *, *, 53828
*, *, assoc-acdm, married, *, *, *, *, 75360
*, *, assoc-acdm, married, *, *, *, *, 82492
*, *, assoc-acdm, married, *, *, *, *, 65798
*, *, assoc-acdm, married, *, *, *, *, 81176
*, *, assoc-acdm, married, *, *, *, *, 95155
*, *, assoc-acdm, married, *, *, *, *, 69922
*, *, assoc-acdm, married, *, *, *, *, 95677
*, *, assoc-acdm, married, *, *, *, *, 104891
*, *, assoc-acdm, married, *, *, *, *, 102994
*, *, assoc-acdm, married, *, *, *, *, 98939
*, *, assoc-acdm, married, *, *, *, *, 113894
*, *, assoc-acdm, married, *, *, *, *, 88500
*, *, assoc-acdm, married, *, *, *, *, 77892
*, *, assoc-acdm, married, *, *, *, *, 67251
*, *, assoc-acdm, married, *, *, *, *, 119932
*, *, assoc-acdm, married, *, *, *, *, 111899
*, *, assoc-acdm, married, *, *, *, *, 83394
*, *, assoc-acdm, married, *, *, *, *, 80634
*, *, assoc-acdm, married, *, *, *, *, 93789
*, *, assoc-acdm, married, *, *, *, *, 112419
*, *, assoc-acdm, married, *, *, *, *, 97589
*, *, assoc-acdm, married, *, *, *, *, 72820
*, *, assoc-acdm, married, *, *, *, *, 70866
*, *, assoc-acdm, married, *, *, *, *, 93389
*, *, assoc-acdm, married, *, *, *, *, 131524
*, *, assoc-acdm, married, *, *, *, *, 102209
*, *, assoc-acdm, married, *, *, *, *, 122706
*, *, assoc-acdm, married, *, *, *, *, 88123
*, *, assoc-acdm, married, *, *, *, *, 137376
*, *, assoc-acdm, married, *, *, *, *, 66550
*, *, assoc-acdm, married, *, *, *, *, 117107
*, *, assoc-acdm, married, *, *, *, *, 126816
*, *, assoc-acdm, married, *, *, *, *, 123326
*, *, assoc-acdm, married, *, *, *, *, 133534
*, *, assoc-acdm, married, *, *, *, *, 94052
*, *, assoc-acdm, married, *, *, *, *, 100991
*, *, assoc-acdm, married, *, *, *, *, 93365
*, *, assoc-acdm, married, *, *, *, *, 99940
*, *, assoc-acdm, married, *, *, *, *, 117466
*, *, assoc-acdm, married, *, *, *, *, 139276
*, *, assoc-acdm, married, *, *, *, *, 78254
*, *, assoc-acdm, married, *, *, *, *, 134618
*, *, assoc-acdm, married, *, *, *, *, 59173
*, *, assoc-acdm, married, *, *, *, *, 98995
*, *, assoc-acdm, married, *, *, *, *, 104351
*, *, assoc-acdm, married, *, *, *, *, 51051
*, *, assoc-acdm, married, *, *, *, *, 123995
*, *, assoc-acdm, married, *, *, *, *, 92338
*, *, assoc-acdm, married, *, *, *, *, 76410
*, *, assoc-acdm, married, *, *, *, *, 90413
*, *, assoc-acdm, married, *, *, *, *, 84211
*, *, assoc-acdm, married, *, *, *, *, 65495
*, *, assoc-acdm, married, *, *, *, *, 99787
*, *, assoc-acdm, married, *, *, *, *, 97844
*, *, assoc-acdm, married, *, *, *, *, 75136
*, *, assoc-acdm, married, *, *, *, *, 110253
*, *, assoc-acdm, married, *, *, *, *, 79021
*, *, assoc-acdm, married, *, *, *, *, 58188
*, *, assoc-acdm, married, *, *, *, *, 123105
*, *, assoc-acdm, married, *, *, *, *, 51327
*, *, assoc-acdm, married, *, *, *, *, 68755
*, *, assoc-acdm, married, *, *, *, *, 108019
*, *, assoc-acdm, married, *, *, *, *, 105004
*, *, assoc-acdm, married, *, *, *, *, 101862
*, *, assoc-acdm, married, *, *, *, *, 58899
*, *, assoc-acdm, married, *, *, *, *, 70270
*, *, assoc-acdm, married, *, *, *, *, 132494
*, *, assoc-acdm, married, *, *, *, *, 115809
*, *, assoc-acdm, married, *, *, *, *, 90949
*, *, assoc-acdm, married, *, *, *, *, 81526
*, *, assoc-acdm, married, *, *, *, *, 86244
*, *, assoc-acdm, married, *, *, *, *, 94627
*, *, assoc-acdm, married, *, *, *, *, 60004
*, *, assoc-acdm, married, *, *, *, *, 91823
*, *, assoc-acdm, married, *, *, *, *, 114133
*, *, assoc-acdm, married, *, *, *, *, 117901
*, *, assoc-acdm, married, *, *, *, *, 93276
*, *, assoc-acdm, married, *, *, *, *, 109436
*, *, assoc-acdm, married, *, *, *, *, 115410
*, *, assoc-acdm, married, *, *, *, *, 102487
*, *, assoc-acdm, married, *, *, *, *, 97955
*, *, assoc-acdm, married, *, *, *, *, 135001
*, *, assoc-acdm, married, *, *, *, *, 64677
*, *, assoc-acdm, married, *, *, *, *, 121052
*, *, assoc-acdm, married, *, *, *, *, 55523
*, *, assoc-acdm, married, *, *, *, *, 95523
*, *, assoc-acdm, married, *, *, *, *, 69838
*, *, assoc-acdm, married, *, *, *, *, 84048
*, *, assoc-acdm, married, *, *, *, *, 65547
*, *, assoc-acdm, married, *, *, *, *, 107152
*, *, assoc-acdm, married, *, *, *, *, 122609
*, *, assoc-acdm, married, *, *, *, *, 101008
*, *, assoc-acdm, married, *, *, *, *, 87561
*, *, assoc-acdm, married, *, *, *, *, 106214
*, *, assoc-acdm, married, *, *, *, *, 70020
*, *, assoc-acdm, married, *, *, *, *, 129199
*, *, assoc-acdm, married, *, *, *, *, 136046
*, *, assoc-acdm, married, *, *, *, *, 64920
*, *, assoc-acdm, married, *, *, *, *, 71893
*, *, assoc-acdm, married, *, *, *, *, 139775
*, *, assoc-acdm, married, *, *, *, *, 128603
*, *, assoc-acdm, married, *, *, *, *, 88631
*, *, assoc-acdm, married, *, *, *, *, 132469
*, *, assoc-acdm, married, *, *, *, *, 117088
*, *, assoc-acdm, married, *, *, *, *, 79629
*, *, assoc-acdm, married, *, *, *, *, 68272
*, *, assoc-acdm, married, *, *, *, *, 52158
*, *, assoc-acdm, married, *, *, *, *, 107786
*, *, assoc-acdm, married, *, *, *, *, 131610
*, *, assoc-acdm, married, *, *, *, *, 52384
*, *, assoc-acdm, married, *, *, *, *, 68767
*, *, assoc-acdm, married, *, *, *, *, 119330
*, *, assoc-acdm, married, *, *, *, *, 63503
*, *, assoc-acdm, married, *, *, *, *, 81672
*, *, assoc-acdm, married, *, *, *, *, 95299
*, *, assoc-acdm, married, *, *, *, *, 104237
*, *, assoc-acdm, married, *, *, *, *, 129975
*, *, assoc-acdm, married, *, *, *, *, 60030
*, *, assoc-acdm, married, *, *, *, *, 101430
*, *, assoc-acdm, married, *, *, *, *, 86939
*, *, assoc-acdm, married, *, *, *, *, 50001
*, *, assoc-acdm, married, *, *, *, *, 103237
*, *, assoc-acdm, married, *, *, *, *, 107164
*, *, assoc-acdm, married, *, *, *, *, 89512
*, *, assoc-acdm, married, *, *, *, *, 122586
*, *, assoc-acdm, married, *, *, *, *, 109933
*, *, assoc-acdm, married, *, *, *, *, 110768
*, *, assoc-acdm, married, *, *, *, *, 87874
*, *, assoc-acdm, married, *, *, *, *, 56393
*, *, assoc-acdm, married, *, *, *, *, 84253
*, *, assoc-acdm, married, *, *, *, *, 139332
*, *, assoc-acdm, married, *, *, *, *, 132443
*, *, assoc-acdm, married, *, *, *, *, 58959
*, *, assoc-acdm, married, *, *, *, *, 107804
*, *, assoc-acdm, married, *, *, *, *, 72217
*, *, assoc-acdm, married, *, *, *, *, 77374
*, *, assoc-acdm, married, *, *, *, *, 95624
*, *, assoc-acdm, married, *, *, *, *, 89896
*, *, assoc-acdm, married, *, *, *, *, 89422
*, *, assoc-acdm, married, *, *, *, *, 114567
*, *, assoc-acdm, married, *, *, *, *, 126313
*, *, assoc-acdm, married, *, *, *, *, 121229
*, *, assoc-acdm, married, *, *, *, *, 133026
*, *, assoc-acdm, married, *, *, *, *, 51486
*, *, assoc-acdm, married, *, *, *, *, 55506
*, *, assoc-acdm, married, *, *, *, *, 82385
*, *, assoc-acdm, married, *, *, *, *, 137890
*, *, assoc-acdm, married, *, *, *, *, 101837
*, *, assoc-acdm, married, *, *, *, *, 135180
*, *, assoc-acdm, married, *, *, *, *, 108611
*, *, assoc-acdm, married, *, *, *, *, 89875
*, *, assoc-acdm, married, *, *, *, *, 112149
*, *, assoc-acdm, married, *, *, *, *, 120694
*, *, assoc-acdm, married, *, *, *, *, 105460
*, *, assoc-acdm, married, *, *, *, *, 76852
*, *, assoc-acdm, married, *, *, *, *, 126806
*, *, assoc-acdm, married, *, *, *, *, 70172
*, *, assoc-acdm, married, *, *, *, *, 68021
*, *, assoc-acdm, married, *, *, *, *, 98648
*, *, assoc-acdm, married, *, *, *, *, 79604
*, *, assoc-acdm, married, *, *, *, *, 111433
*, *, assoc-acdm, married, *, *, *, *, 56581
*, *, assoc-acdm, married, *, *, *, *, 113266
*, *, assoc-acdm, married, *, *, *, *, 61095
*, *, assoc-acdm, married, *, *, *, *, 91426
*, *, assoc-acdm, married, *, *, *, *, 84027
*, *, assoc-acdm, married, *, *, *, *, 107801
*, *, assoc-acdm, married, *, *, *, *, 110306
*, *, assoc-acdm, married, *, *, *, *, 134423
*, *, assoc-acdm, married, *, *, *, *, 110495
*, *, assoc-acdm, married, *, *, *, *, 83103
*, *, assoc-acdm, married, *, *, *, *, 120354
*, *, assoc-acdm, married, *, *, *, *, 93962
*, *, assoc-acdm, married, *, *, *, *, 53860
*, *, assoc-acdm, married, *, *, *, *, 125789
*, *, assoc-acdm, married, *, *, *, *, 84127
*, *, assoc-acdm, married, *, *, *, *, 106521
*, *, assoc-acdm, married, *, *, *, *, 131813
*, *, assoc-acdm, married, *, *, *, *, 108583
*, *, assoc-acdm, married, *, *, *, *, 136286
*, *, assoc-acdm, married, *, *, *, *, 96119
*, *, assoc-acdm, married, *, *, *, *, 100983
*, *, assoc-acdm, married, *, *, *, *, 89826
*, *, assoc-acdm, married, *, *, *, *, 111347
*, *, assoc-acdm, married, *, *, *, *, 127803
*, *, assoc-acdm, married, *, *, *, *, 103832
*, *, assoc-acdm, married, *, *, *, *, 114697
*, *, assoc-acdm, married, *, *, *, *, 101707
*, *, assoc-acdm, married, *, *, *, *, 103274
*, *, assoc-acdm, married, *, *, *, *, 108136
*, *, assoc-acdm, married, *, *, *, *, 84901
*, *, assoc-acdm, married, *, *, *, *, 75473
*, *, assoc-acdm, married, *, *, *, *, 92406
*, *, assoc-acdm, married, *, *, *, *, 127351
*, *, assoc-acdm, married, *, *, *, *, 98471
*, *, assoc-acdm, married, *, *, *, *, 79902
*, *, assoc-acdm, married, *, *, *, *, 99342
*, *, assoc-acdm, married, *, *, *, *, 81254
*, *, assoc-acdm, married, *, *, *, *, 88174
*, *, assoc-acdm, married, *, *, *, *, 79961
*, *, assoc-acdm, married, *, *, *, *, 107227
*, *, assoc-acdm, married, *, *, *, *, 108965
*, *, assoc-acdm, married, *, *, *, *, 95750
*, *, assoc-acdm, married, *, *, *, *, 98321
*, *, assoc-acdm, married, *, *, *, *, 130670
*, *, assoc-acdm, married, *, *, *, *, 57955
*, *, assoc-acdm, married, *, *, *, *, 136996
