22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
27 - 29, local-gov, post-doctorate, never-married, adm-clerical, white, male, united-states, 13973
31 - 33, local-gov, post-doctorate, never-married, customer-service, white, male, united-states, 124648
31 - 33, local-gov, post-doctorate, never-married, customer-service, white, male, united-states, 19334
21 - 22, state-gov, assoc-acdm, never-married, customer-service, white, male, united-states, 174190
21 - 22, state-gov, assoc-acdm, never-married, customer-service, white, male, united-states, 153890
29 - 34, government, assoc-acdm, divorced, adm-clerical, white, female, united-states, 161528
29 - 34, government, assoc-acdm, divorced, adm-clerical, white, female, united-states, 87643
22 - 27, local-gov, assoc-acdm, never-married, adm-clerical, black, female, north-america, 47022
22 - 27, local-gov, assoc-acdm, never-married, adm-clerical, black, female, north-america, 66457
22 - 27, local-gov, assoc-acdm, never-married, adm-clerical, black, female, north-america, 86978
26, state-gov, assoc-acdm, never-married, adm-clerical, black, female, united-states, 147386
26, state-gov, assoc-acdm, never-married, adm-clerical, black, female, united-states, 83493
20 - 27, local-gov, assoc-voc, never-married, customer-service, white, female, united-states, 169026
20 - 27, local-gov, assoc-voc, never-married, customer-service, white, female, united-states, 61912
22 - 24, local-gov, post-doctorate, never-married, adm-clerical, white, female, ?, 89544
22 - 24, local-gov, post-doctorate, never-married, adm-clerical, white, female, ?, 75821
23, state-gov, post-doctorate, never-married, customer-service, white, female, united-states, 179961
23, state-gov, post-doctorate, never-married, customer-service, white, female, united-states, 195407
25 - 27, state-gov, assoc-acdm, never-married, adm-clerical, white, female, *, 174639
25 - 27, state-gov, assoc-acdm, never-married, adm-clerical, white, female, *, 25606
29 - 37, government, assoc-voc, never-married, customer-service, white, female, united-states, 60750
29 - 37, government, assoc-voc, never-married, customer-service, white, female, united-states, 154199
29 - 37, government, assoc-voc, never-married, customer-service, white, female, united-states, 146611
28 - 31, local-gov, assoc-acdm, never-married, adm-clerical, *, female, united-states, 177863
28 - 31, local-gov, assoc-acdm, never-married, adm-clerical, *, female, united-states, 120106
28 - 31, local-gov, assoc-acdm, never-married, adm-clerical, *, female, united-states, 94040
31, state-gov, assoc-acdm, never-married, adm-clerical, *, female, united-states, 17575
31, state-gov, assoc-acdm, never-married, adm-clerical, *, female, united-states, 99198
33, government, assoc-acdm, never-married, adm-clerical, *, female, central-north-america, 196189
29 - 32, government, post-doctorate, divorced, protective-serv, white, male, united-states, 93958
29 - 32, government, post-doctorate, divorced, protective-serv, white, male, united-states, 163738
33 - 37, government, post-doctorate, divorced, protective-serv, *, male, united-states, 76477
33 - 37, government, post-doctorate, divorced, protective-serv, *, male, united-states, 134734
33 - 37, government, post-doctorate, divorced, protective-serv, *, male, united-states, 59345
25 - 27, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 86626
25 - 27, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 31909
29 - 30, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 40138
29 - 30, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 146858
23 - 30, government, assoc-acdm, never-married, protective-serv, *, male, united-states, 42583
23 - 30, government, assoc-acdm, never-married, protective-serv, *, male, united-states, 105857
23 - 30, government, assoc-acdm, never-married, protective-serv, *, male, united-states, 97282
31 - 33, local-gov, post-doctorate, never-married, protective-serv, white, male, united-states, 110047
31 - 33, local-gov, post-doctorate, never-married, protective-serv, white, male, united-states, 86338
31 - 33, local-gov, post-doctorate, never-married, protective-serv, white, male, united-states, 176879
36 - 37, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 155095
36 - 37, local-gov, assoc-voc, never-married, protective-serv, white, male, united-states, 77564
30 - 37, local-gov, assoc-voc, not-married, protective-serv, *, female, united-states, 149525
30 - 37, local-gov, assoc-voc, not-married, protective-serv, *, female, united-states, 170091
30 - 37, local-gov, assoc-voc, not-married, protective-serv, *, female, united-states, 129039
20 - 33, government, assoc-acdm, not-married, other-service, white, male, united-states, 112683
20 - 33, government, assoc-acdm, not-married, other-service, white, male, united-states, 98301
20 - 33, government, assoc-acdm, not-married, other-service, white, male, united-states, 170222
29 - 37, local-gov, post-doctorate, not-married, other-service, *, female, united-states, 193148
29 - 37, local-gov, post-doctorate, not-married, other-service, *, female, united-states, 48302
23 - 32, private, pre-primary, married-civ-spouse, machine-op-inspct, amer-indian-eskimo, *, mexico, 40122
23 - 32, private, pre-primary, married-civ-spouse, machine-op-inspct, amer-indian-eskimo, *, mexico, 153698
33 - 37, private, pre-primary, married-civ-spouse, manual-labour, asian-pac-islander, male, *, 137798
33 - 37, private, pre-primary, married-civ-spouse, manual-labour, asian-pac-islander, male, *, 98991
33 - 37, private, pre-primary, married-civ-spouse, manual-labour, asian-pac-islander, male, *, 90506
32, private, pre-primary, married-civ-spouse, machine-op-inspct, asian-pac-islander, female, southeast-asia, 84425
32, private, pre-primary, married-civ-spouse, machine-op-inspct, asian-pac-islander, female, southeast-asia, 103437
24 - 37, private, pre-primary, married-civ-spouse, other-service, asian-pac-islander, *, *, 164001
24 - 37, private, pre-primary, married-civ-spouse, other-service, asian-pac-islander, *, *, 82759
22, private, 5th-6th, married-civ-spouse, craft-repair, white, male, mexico, 161130
22, private, 5th-6th, married-civ-spouse, craft-repair, white, male, mexico, 145735
22, private, 5th-6th, married-civ-spouse, craft-repair, white, male, mexico, 96498
26 - 30, private, 5th-6th, married-civ-spouse, craft-repair, white, male, north-america, 109933
26 - 30, private, 5th-6th, married-civ-spouse, craft-repair, white, male, north-america, 74772
28 - 30, private, pre-primary, married-civ-spouse, machine-op-inspct, white, male, mexico, 24123
28 - 30, private, pre-primary, married-civ-spouse, machine-op-inspct, white, male, mexico, 78865
28 - 30, private, pre-primary, married-civ-spouse, machine-op-inspct, white, male, mexico, 68444
25 - 26, private, pre-primary, married-civ-spouse, farming-fishing, white, male, mexico, 199694
25 - 26, private, pre-primary, married-civ-spouse, farming-fishing, white, male, mexico, 84009
27 - 29, private, pre-primary, married-civ-spouse, farming-fishing, white, male, mexico, 189857
27 - 29, private, pre-primary, married-civ-spouse, farming-fishing, white, male, mexico, 71795
27 - 29, private, pre-primary, married-civ-spouse, farming-fishing, white, male, mexico, 85997
21 - 23, private, 5th-6th, married-civ-spouse, handlers-cleaners, white, male, mexico, 189893
21 - 23, private, 5th-6th, married-civ-spouse, handlers-cleaners, white, male, mexico, 20437
24 - 27, private, pre-primary, married-civ-spouse, handlers-cleaners, white, male, north-america, 101153
24 - 27, private, pre-primary, married-civ-spouse, handlers-cleaners, white, male, north-america, 64026
24 - 27, private, pre-primary, married-civ-spouse, handlers-cleaners, white, male, north-america, 193671
23 - 27, private, 5th-6th, married-civ-spouse, transport-moving, white, male, mexico, 188499
23 - 27, private, 5th-6th, married-civ-spouse, transport-moving, white, male, mexico, 14314
21 - 22, private, 5th-6th, married-civ-spouse, other-service, white, male, southern-north-america, 43685
21 - 22, private, 5th-6th, married-civ-spouse, other-service, white, male, southern-north-america, 59973
23 - 29, private, 5th-6th, married-civ-spouse, other-service, white, male, mexico, 175390
23 - 29, private, 5th-6th, married-civ-spouse, other-service, white, male, mexico, 89124
23 - 29, private, 5th-6th, married-civ-spouse, other-service, white, male, mexico, 98683
32 - 33, private, preschool, married-civ-spouse, manual-labour, white, male, mexico, 43990
32 - 33, private, preschool, married-civ-spouse, manual-labour, white, male, mexico, 52373
31, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 94184
31, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 196501
31, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 26608
31, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 179988
33, private, 1st-4th, married-civ-spouse, manual-labour, white, male, mexico, 197499
33, private, 1st-4th, married-civ-spouse, manual-labour, white, male, mexico, 44941
33, private, 1st-4th, married-civ-spouse, manual-labour, white, male, mexico, 113585
34 - 37, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 107595
34 - 37, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 195995
34 - 37, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 81673
34 - 37, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 55585
34 - 37, private, 1st-4th, married-civ-spouse, *, white, male, north-america, 122883
32 - 37, private, 5th-6th, married-civ-spouse, craft-repair, white, male, north-america, 169817
32 - 37, private, 5th-6th, married-civ-spouse, craft-repair, white, male, north-america, 133899
32 - 37, private, 5th-6th, married-civ-spouse, craft-repair, white, male, north-america, 46832
36 - 37, private, 5th-6th, married-civ-spouse, machine-op-inspct, white, male, mexico, 89815
36 - 37, private, 5th-6th, married-civ-spouse, machine-op-inspct, white, male, mexico, 146867
34 - 37, private, 5th-6th, married-civ-spouse, farming-fishing, white, male, mexico, 74406
